tahun_pengadaan,kabupaten_kota,jumlah_kecamatan,jumlah_desa,luas_baku_sawah_ha,luas_panen_tanaman_padi_ha,produktivitas_tanaman_padi_ku_ha,rekap_produksi_padi_ton,rekap_produksi_beras_ton,indeks_pertanaman_ip,coverage_area_traktor_roda_dua_ha,jumlah_bantuan_traktor_unit,ketersediaan_traktor_roda_dua_unit,kebutuhan_traktor_roda_dua_unit,kejenuhan_traktor_roda_dua_persen,rekomendasi_prioritas_bantuan
2020,Kota Probolinggo,5,29,2308,1450.0,52.03,7543.19,4355.59,0.63,25,0,0,58,0.0,Rendah
2021,Kota Probolinggo,5,29,2308,1531.0,58.3,8924.08,5152.96,0.66,25,0,0,61,0.0,Rendah
2022,Kota Probolinggo,5,29,2308,1323.99,61.21,8103.92,4679.36,0.57,25,0,0,53,0.0,Rendah
2023,Kota Probolinggo,5,29,2308,1309.44,57.29,7502.06,4331.85,0.57,25,0,0,52,0.0,Rendah
2024,Kota Probolinggo,5,29,2308,1391.07,61.06,8494.14,4904.69,0.6,25,0,0,56,0.0,Rendah
2025,Lumajang,21,205,34181,50051.54,55.92,279902.0,161621.18,1.46,25,1,1,2002,0.05,Sedang
2020,Kota Surabaya,31,153,1142,1866.0,59.7,11138.05,6431.33,1.63,25,0,0,75,0.0,Rendah
2021,Kota Surabaya,31,153,1142,1736.0,56.64,9832.67,5677.59,1.52,25,0,0,69,0.0,Rendah
2022,Kota Surabaya,31,153,1142,1447.98,56.06,8117.31,4687.1,1.27,25,0,0,58,0.0,Rendah
2023,Kota Surabaya,31,153,1142,1506.01,53.58,8068.88,4659.13,1.32,25,2,2,60,3.32,Rendah
2024,Kota Surabaya,31,153,1142,1321.75,55.54,7340.42,4238.5,1.16,25,0,2,53,3.78,Rendah
2025,Bangkalan,18,281,33851,46902.9,47.71,223789.0,129220.18,1.39,25,20,22,1876,1.17,Sedang
2020,Lamongan,27,474,95530,148031.0,59.86,886060.99,511629.45,1.55,25,2,2,5921,0.03,Tinggi
2021,Lamongan,27,474,95530,138450.0,57.25,792662.09,457699.04,1.45,25,30,32,5538,0.58,Tinggi
2022,Lamongan,27,474,95530,150903.4,59.9,903882.29,521919.84,1.58,25,2,34,6036,0.56,Tinggi
2023,Lamongan,27,474,95530,139704.81,57.17,798704.85,461188.28,1.46,25,30,64,5588,1.15,Tinggi
2024,Lamongan,27,474,95530,130670.42,59.41,776290.66,448245.88,1.37,25,2,66,5227,1.26,Tinggi
2025,Madiun,15,206,33456,82826.38,57.98,480264.0,277313.9,2.48,25,5,71,3313,2.14,Tinggi
2020,Lumajang,21,205,34181,53781.0,54.05,290688.21,167849.24,1.57,25,27,27,2151,1.26,Sedang
2021,Lumajang,21,205,34181,56671.0,52.07,295075.52,170382.55,1.66,25,3,30,2267,1.32,Sedang
2022,Lumajang,21,205,34181,55042.5,54.65,300829.01,173704.72,1.61,25,0,30,2202,1.36,Sedang
2023,Lumajang,21,205,34181,55128.79,55.99,308646.08,178218.47,1.61,25,1,31,2205,1.41,Sedang
2024,Lumajang,21,205,34181,47553.88,54.07,257120.65,148466.65,1.39,25,52,83,1902,4.36,Sedang
2025,Blitar,22,248,33289,35795.98,64.65,231437.0,133636.42,1.08,25,10,93,1432,6.5,Sedang
2020,Madiun,15,206,33456,73000.0,61.1,446052.38,257559.64,2.18,25,92,92,2920,3.15,Tinggi
2021,Madiun,15,206,33456,75713.0,60.99,461798.12,266651.51,2.26,25,78,170,3029,5.61,Tinggi
2022,Madiun,15,206,33456,73061.53,54.96,401573.69,231876.72,2.18,25,31,201,2922,6.88,Tinggi
2023,Madiun,15,206,33456,74784.95,58.51,437593.08,252675.05,2.24,25,49,250,2991,8.36,Tinggi
2024,Madiun,15,206,33456,73419.94,59.58,437458.25,252597.18,2.19,25,26,276,2937,9.4,Tinggi
2025,Sampang,14,186,32099,42337.09,44.86,189903.0,109653.91,1.32,25,10,286,1693,16.89,Sedang
2020,Magetan,18,235,26455,46822.0,66.01,309053.07,178453.47,1.77,25,13,13,1873,0.69,Sedang
2021,Magetan,18,235,26455,48488.0,63.37,307279.68,177429.45,1.83,25,3,16,1940,0.82,Sedang
2022,Magetan,18,235,26455,43965.49,60.66,266699.89,153997.9,1.66,25,19,35,1759,1.99,Sedang
2023,Magetan,18,235,26455,44424.0,63.16,280592.09,162019.53,1.68,25,20,55,1777,3.1,Sedang
2024,Magetan,18,235,26455,43404.62,62.72,272246.05,157200.36,1.64,25,11,66,1736,3.8,Sedang
2025,Pasuruan,24,365,32081,50783.54,54.01,274285.0,158377.88,1.58,25,2,68,2031,3.35,Sedang
2020,Malang,33,390,37725,46121.0,59.49,274389.82,158438.2,1.22,25,1,1,1845,0.05,Sedang
2021,Malang,33,390,37725,45344.0,60.28,273358.61,157842.77,1.2,25,48,49,1814,2.7,Sedang
2022,Malang,33,390,37725,45901.91,59.17,271606.78,156831.2,1.22,25,27,76,1836,4.14,Sedang
2023,Malang,33,390,37725,43918.59,63.61,279365.91,161311.5,1.16,25,15,91,1757,5.18,Sedang
2024,Malang,33,390,37725,41019.97,62.11,254793.72,147123.04,1.09,25,71,162,1641,9.87,Sedang
2025,Sumenep,27,334,28919,35770.03,52.96,189423.0,109376.69,1.24,25,6,168,1431,11.74,Sedang
2020,Mojokerto,18,304,36876,54505.0,57.37,312686.37,180551.4,1.48,25,35,35,2180,1.61,Sedang
2021,Mojokerto,18,304,36876,51258.0,57.95,297042.32,171518.24,1.39,25,30,65,2050,3.17,Sedang
2022,Mojokerto,18,304,36876,49395.45,57.06,281829.41,162733.96,1.34,25,45,110,1976,5.57,Sedang
2023,Mojokerto,18,304,36876,53462.15,56.66,302890.75,174895.22,1.45,25,8,118,2138,5.52,Sedang
2024,Mojokerto,18,304,36876,47296.06,60.41,285714.44,164977.26,1.28,25,0,118,1892,6.24,Sedang
2025,Magetan,18,235,26455,50411.32,61.14,308221.0,177972.93,1.91,25,1,119,2016,5.9,Sedang
2020,Nganjuk,20,284,45786,71155.0,61.4,436884.05,252265.66,1.55,25,45,45,2846,1.58,Tinggi
2021,Nganjuk,20,284,45786,72440.0,59.26,429311.01,247892.8,1.58,25,49,94,2898,3.24,Tinggi
2022,Nganjuk,20,284,45786,70331.77,53.53,376476.43,217385.07,1.54,25,32,126,2813,4.48,Sedang
2023,Nganjuk,20,284,45786,72039.49,58.04,418096.11,241417.14,1.57,25,39,165,2882,5.73,Tinggi
2024,Nganjuk,20,284,45786,69685.57,58.11,404975.09,233840.77,1.52,25,0,165,2787,5.92,Sedang
2025,Pamekasan,13,189,25244,24129.94,54.44,131369.0,75855.27,0.96,25,4,169,965,17.51,Rendah
2020,Ngawi,19,217,49577,125908.0,66.54,837773.15,483747.06,2.54,25,9,9,5036,0.18,Tinggi
2021,Ngawi,19,217,49577,128738.0,61.09,786475.65,454126.86,2.6,25,6,15,5150,0.29,Tinggi
2022,Ngawi,19,217,49577,128585.79,58.79,755938.95,436494.35,2.59,25,15,30,5143,0.58,Tinggi
2023,Ngawi,19,217,49577,124922.92,61.74,771251.37,445336.1,2.52,25,17,47,4997,0.94,Tinggi
2024,Ngawi,19,217,49577,123075.68,62.21,765703.53,442132.64,2.48,25,10,57,4923,1.16,Tinggi
2025,Tulungagung,19,271,24315,39342.06,61.15,240566.0,138907.43,1.62,25,4,61,1574,3.88,Sedang
2020,Pacitan,12,172,14299,19292.0,43.51,83940.9,48469.17,1.35,25,13,13,772,1.68,Rendah
2021,Pacitan,12,172,14299,18894.0,46.64,88116.57,50880.29,1.32,25,32,45,756,5.95,Rendah
2022,Pacitan,12,172,14299,17831.47,50.71,90428.21,52215.06,1.25,25,20,65,713,9.11,Rendah
2023,Pacitan,12,172,14299,17923.4,51.88,92992.64,53695.84,1.25,25,19,84,717,11.72,Rendah
2024,Pacitan,12,172,14299,14602.85,47.7,69650.98,40217.87,1.02,25,12,96,584,16.44,Rendah
2025,Sidoarjo,18,346,20246,29003.94,60.57,175677.0,101439.41,1.43,25,15,111,1160,9.57,Sedang
2020,Pamekasan,13,189,25244,20170.0,50.48,101827.44,58797.21,0.8,25,70,70,807,8.68,Rendah
2021,Pamekasan,13,189,25244,18926.0,51.11,96723.97,55850.36,0.75,25,45,115,757,15.19,Rendah
2022,Pamekasan,13,189,25244,20497.42,52.52,107648.71,62158.54,0.81,25,19,134,820,16.34,Rendah
2023,Pamekasan,13,189,25244,19884.36,54.56,108483.14,62640.34,0.79,25,35,169,795,21.25,Rendah
2024,Pamekasan,13,189,25244,19637.62,51.69,101501.42,58608.96,0.78,25,23,192,786,24.44,Rendah
2025,Pacitan,12,172,14299,26774.29,49.49,132516.0,76517.4,1.87,25,2,194,1071,18.11,Sedang
2020,Pasuruan,24,365,32081,53127.0,51.37,272936.27,157598.88,1.66,25,5,5,2125,0.24,Sedang
2021,Pasuruan,24,365,32081,50306.0,52.67,264950.78,152987.93,1.57,25,5,10,2012,0.5,Sedang
2022,Pasuruan,24,365,32081,47384.82,52.18,247255.72,142770.43,1.48,25,0,10,1895,0.53,Sedang
2023,Pasuruan,24,365,32081,48999.14,53.07,260061.94,150164.99,1.53,25,0,10,1960,0.51,Sedang
2024,Pasuruan,24,365,32081,51087.0,54.29,277354.51,160150.07,1.59,25,0,10,2043,0.49,Sedang
2025,Trenggalek,14,157,12214,27942.64,56.55,158029.0,91249.15,2.29,25,4,14,1118,1.25,Tinggi
2020,Ponorogo,21,307,35693,65073.0,57.99,377333.2,217879.79,1.82,25,21,21,2603,0.81,Tinggi
2021,Ponorogo,21,307,35693,68741.0,58.87,404665.04,233661.75,1.93,25,8,29,2750,1.05,Tinggi
2022,Ponorogo,21,307,35693,62964.37,57.08,359413.77,207532.72,1.76,25,29,58,2519,2.3,Tinggi
2023,Ponorogo,21,307,35693,66594.55,59.01,392994.08,226922.69,1.87,25,38,96,2664,3.6,Tinggi
2024,Ponorogo,21,307,35693,63395.6,59.82,379244.91,218983.65,1.78,25,0,96,2536,3.79,Tinggi
2025,Kota Probolinggo,5,29,2308,1596.83,63.2,10092.0,5827.34,0.69,25,2,2,64,3.13,Rendah
2020,Probolinggo,24,330,38338,36926.0,52.16,192600.06,111211.15,0.96,25,59,59,1477,3.99,Sedang
2021,Probolinggo,24,330,38338,37043.0,51.34,190180.14,109813.84,0.97,25,84,143,1482,9.65,Sedang
2022,Probolinggo,24,330,38338,33503.12,55.34,185412.51,107060.91,0.87,25,0,143,1340,10.67,Rendah
2023,Probolinggo,24,330,38338,35121.69,57.24,201044.34,116087.05,0.92,25,3,146,1405,10.39,Sedang
2024,Probolinggo,24,330,38338,33177.95,53.53,177607.38,102554.1,0.87,25,0,146,1327,11.0,Rendah
2025,Kota Surabaya,31,153,1142,1053.86,57.64,6075.0,3507.73,0.92,25,2,148,42,351.09,Rendah
2020,Sampang,14,186,32099,37792.0,50.73,191735.47,110711.93,1.18,25,5,5,1512,0.33,Sedang
2021,Sampang,14,186,32099,38152.0,51.27,195600.69,112943.75,1.19,25,16,21,1526,1.38,Sedang
2022,Sampang,14,186,32099,34880.84,49.45,172494.38,99601.72,1.09,25,0,21,1395,1.51,Sedang
2023,Sampang,14,186,32099,34795.54,48.05,167191.35,96539.65,1.08,25,8,29,1392,2.08,Sedang
2024,Sampang,14,186,32099,33068.93,44.13,145931.75,84263.94,1.03,25,0,29,1323,2.19,Sedang
2025,Kota Kediri,3,46,1030,628.39,59.02,3709.0,2141.42,0.61,25,2,31,25,123.33,Rendah
2020,Sidoarjo,18,346,20246,34321.0,60.93,209109.93,120744.28,1.7,25,1,1,1373,0.07,Sedang
2021,Sidoarjo,18,346,20246,32586.0,62.14,202501.4,116928.41,1.61,25,9,10,1303,0.77,Sedang
2022,Sidoarjo,18,346,20246,31368.74,62.02,194540.45,112331.58,1.55,25,13,23,1255,1.83,Sedang
2023,Sidoarjo,18,346,20246,31030.46,63.12,195855.35,113090.82,1.53,25,5,28,1241,2.26,Sedang
2024,Sidoarjo,18,346,20246,32100.11,65.1,208986.7,120673.11,1.59,25,0,28,1284,2.18,Sedang
2025,Kota Blitar,3,21,976,836.99,72.5,6068.0,3503.75,0.86,25,2,30,33,89.61,Rendah
2020,Situbondo,17,136,36546,30529.0,52.39,159928.19,92345.76,0.84,25,34,34,1221,2.78,Rendah
2021,Situbondo,17,136,36546,30388.0,49.74,151157.12,87281.16,0.83,25,7,41,1216,3.37,Rendah
2022,Situbondo,17,136,36546,26784.22,52.88,141628.0,81778.89,0.73,25,5,46,1071,4.29,Rendah
2023,Situbondo,17,136,36546,27917.32,56.34,157273.25,90812.73,0.76,25,18,64,1117,5.73,Rendah
2024,Situbondo,17,136,36546,29935.08,54.2,162236.82,93678.79,0.82,25,0,64,1197,5.34,Rendah
2025,Kota Malang,5,57,909,1301.09,63.35,8243.0,4759.62,1.43,25,2,66,52,126.82,Rendah
2020,Sumenep,27,334,28919,42754.0,53.56,228980.21,132217.78,1.48,25,107,107,1710,6.26,Sedang
2021,Sumenep,27,334,28919,40299.0,55.08,221979.41,128175.38,1.39,25,72,179,1612,11.1,Sedang
2022,Sumenep,27,334,28919,41835.41,55.12,230581.31,133142.3,1.45,25,43,222,1673,13.27,Sedang
2023,Sumenep,27,334,28919,42432.97,51.33,217810.48,125768.19,1.47,25,31,253,1697,14.91,Sedang
2024,Sumenep,27,334,28919,36761.47,51.55,189499.69,109420.94,1.27,25,11,264,1470,17.95,Sedang
2025,Kota Madiun,3,27,859,2083.7,57.06,11889.0,6864.79,2.43,25,5,269,83,322.74,Rendah
2020,Trenggalek,14,157,12214,19631.0,55.24,108445.62,62618.7,1.61,25,14,14,785,1.78,Sedang
2021,Trenggalek,14,157,12214,22492.0,51.78,116456.34,67244.24,1.84,25,6,20,900,2.22,Sedang
2022,Trenggalek,14,157,12214,22026.97,52.55,115758.01,66841.0,1.8,25,21,41,881,4.65,Sedang
2023,Trenggalek,14,157,12214,22049.36,52.1,114874.53,66330.87,1.81,25,14,55,882,6.24,Sedang
2024,Trenggalek,14,157,12214,18239.46,57.49,104859.35,60547.89,1.49,25,3,58,730,7.95,Sedang
2025,Kota Pasuruan,4,34,797,1354.9,55.12,7468.0,4311.95,1.7,25,0,0,54,0.0,Rendah
2020,Tuban,20,328,67371,92342.0,54.91,507053.88,292783.12,1.37,25,34,34,3694,0.92,Tinggi
2021,Tuban,20,328,67371,88050.0,55.58,489418.62,282600.18,1.31,25,15,49,3522,1.39,Tinggi
2022,Tuban,20,328,67371,85288.02,58.5,498938.59,288097.19,1.27,25,4,53,3412,1.55,Tinggi
2023,Tuban,20,328,67371,84115.63,59.65,501741.12,289715.44,1.25,25,14,67,3365,1.99,Tinggi
2024,Tuban,20,328,67371,84211.69,62.11,523067.49,302029.69,1.25,25,23,90,3368,2.67,Tinggi
2025,Kota Batu,3,24,599,512.79,58.99,3025.0,1746.67,0.86,25,0,90,21,438.78,Rendah
2020,Tulungagung,19,271,24315,36689.0,58.44,214398.13,123797.8,1.51,25,12,12,1468,0.82,Sedang
2021,Tulungagung,19,271,24315,39851.0,59.7,237916.96,137378.06,1.64,25,12,24,1594,1.51,Sedang
2022,Tulungagung,19,271,24315,39531.25,52.42,207217.26,119651.42,1.63,25,16,40,1581,2.53,Sedang
2023,Tulungagung,19,271,24315,40238.66,58.53,235502.11,135983.67,1.65,25,18,58,1610,3.6,Sedang
2024,Tulungagung,19,271,24315,34167.99,62.87,214820.77,124041.83,1.41,25,5,63,1367,4.61,Sedang
2025,Kota Mojokerto,3,18,363,523.59,58.93,3086.0,1781.7,1.44,25,2,65,21,310.36,Rendah
